3.088e-13,1.34e-13,5.981e-14,8.919e-14,1.088e-13,1.625e-13,3.918e-14
3.136e-13,1.338e-13,6.074e-14,8.981e-14,1.084e-13,1.63e-13,3.821e-14
3.105e-13,1.347e-13,6.176e-14,9.152e-14,1.104e-13,1.615e-13,3.712e-14
3.076e-13,1.357e-13,6.252e-14,9.311e-14,1.124e-13,1.586e-13,3.776e-14
3.088e-13,1.354e-13,6.271e-14,9.355e-14,1.122e-13,1.574e-13,3.91e-14
3.105e-13,1.343e-13,6.221e-14,9.321e-14,1.136e-13,1.589e-13,3.955e-14
3.122e-13,1.335e-13,6.192e-14,9.286e-14,1.138e-13,1.611e-13,4.023e-14
3.101e-13,1.325e-13,6.2e-14,9.247e-14,1.13e-13,1.607e-13,3.986e-14
3.078e-13,1.335e-13,6.261e-14,9.24e-14,1.124e-13,1.593e-13,3.874e-14
3.047e-13,1.329e-13,6.249e-14,9.177e-14,1.108e-13,1.582e-13,3.793e-14
3.024e-13,1.313e-13,6.209e-14,8.959e-14,1.072e-13,1.582e-13,3.703e-14
3.039e-13,1.32e-13,6.219e-14,8.796e-14,1.076e-13,1.606e-13,3.68e-14
3.068e-13,1.339e-13,6.181e-14,8.747e-14,1.086e-13,1.612e-13,3.711e-14
3.074e-13,1.334e-13,6.01e-14,8.722e-14,1.079e-13,1.595e-13,3.743e-14
3.104e-13,1.313e-13,5.964e-14,8.769e-14,1.086e-13,1.575e-13,3.772e-14
3.126e-13,1.322e-13,6.092e-14,8.877e-14,1.099e-13,1.561e-13,3.805e-14
3.1e-13,1.34e-13,6.18e-14,8.991e-14,1.105e-13,1.588e-13,3.886e-14
3.098e-13,1.347e-13,6.226e-14,9.13e-14,1.127e-13,1.62e-13,3.971e-14
3.088e-13,1.349e-13,6.227e-14,9.265e-14,1.162e-13,1.615e-13,4.009e-14
3.045e-13,1.338e-13,6.215e-14,9.253e-14,1.153e-13,1.599e-13,3.99e-14
3e-13,1.318e-13,6.177e-14,9.205e-14,1.13e-13,1.602e-13,3.877e-14
2.986e-13,1.313e-13,6.148e-14,9.133e-14,1.115e-13,1.598e-13,3.739e-14
